,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Time,season,Attendance
201,201,E0,03/01/00,Tottenham,Liverpool,1,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
202,202,E0,03/01/00,Wimbledon,Sunderland,1,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
203,203,E0,04/01/00,Coventry,Chelsea,2,2,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
204,204,E0,08/01/00,Bradford,Chelsea,1,1,D,1,0,H,,,,,,,,,,,,,S_1999_2000,
205,205,E0,12/01/00,Chelsea,Tottenham,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
206,206,E0,15/01/00,Arsenal,Sunderland,4,1,H,3,0,H,,,,,,,,,,,,,S_1999_2000,
207,207,E0,15/01/00,Chelsea,Leicester,1,1,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
208,208,E0,15/01/00,Coventry,Wimbledon,2,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
209,209,E0,15/01/00,Everton,Tottenham,2,2,D,1,2,A,,,,,,,,,,,,,S_1999_2000,
210,210,E0,15/01/00,Middlesbrough,Derby,1,4,A,0,1,A,,,,,,,,,,,,,S_1999_2000,
211,211,E0,15/01/00,Sheffield Weds,Bradford,2,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
212,212,E0,15/01/00,Watford,Liverpool,2,3,A,1,2,A,,,,,,,,,,,,,S_1999_2000,
213,213,E0,15/01/00,West Ham,Aston Villa,1,1,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
214,214,E0,16/01/00,Newcastle,Southampton,5,0,H,4,0,H,,,,,,,,,,,,,S_1999_2000,
215,215,E0,22/01/00,Aston Villa,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
216,216,E0,22/01/00,Bradford,Watford,3,2,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
