,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Time,season,Attendance
116,116,E0,23/10/94,Arsenal,Coventry,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
117,117,E0,23/10/94,Blackburn,Man United,2,4,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
118,118,E0,23/10/94,Chelsea,Ipswich,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
119,119,E0,24/10/94,Leeds,Leicester,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
120,120,E0,29/10/94,Coventry,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
121,121,E0,29/10/94,Everton,Arsenal,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
122,122,E0,29/10/94,Ipswich,Liverpool,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
123,123,E0,29/10/94,Leicester,Crystal Palace,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
124,124,E0,29/10/94,Man United,Newcastle,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
125,125,E0,29/10/94,Nott'm Forest,Blackburn,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
126,126,E0,29/10/94,QPR,Aston Villa,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
127,127,E0,29/10/94,Sheffield Weds,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
128,128,E0,29/10/94,Southampton,Leeds,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
129,129,E0,29/10/94,Tottenham,West Ham,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
130,130,E0,30/10/94,Wimbledon,Norwich,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
131,131,E0,31/10/94,QPR,Liverpool,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
132,132,E0,01/11/94,Everton,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
133,133,E0,01/11/94,Ipswich,Leeds,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
134,134,E0,02/11/94,Coventry,Crystal Palace,1,4,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
135,135,E0,02/11/94,Sheffield Weds,Blackburn,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
136,136,E0,02/11/94,Southampton,Norwich,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
137,137,E0,05/11/94,Blackburn,Tottenham,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
138,138,E0,05/11/94,Crystal Palace,Ipswich,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
139,139,E0,05/11/94,Leeds,Wimbledon,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
140,140,E0,05/11/94,Liverpool,Nott'm Forest,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
141,141,E0,05/11/94,Man City,Southampton,3,3,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
142,142,E0,05/11/94,Newcastle,QPR,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
143,143,E0,05/11/94,Norwich,Everton,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
144,144,E0,05/11/94,West Ham,Leicester,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
